epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,1284.04,1.0832,0.82944,1.2196,0.90632,0.87607,0.92236,0.61054,1.28441,0.63705,1.19644,4.63512e-05,4.63512e-05,4.63512e-05
154,1291.9,1.10883,0.81161,1.20077,0.89976,0.88696,0.92322,0.59866,1.3409,0.64266,1.21948,4.60443e-05,4.60443e-05,4.60443e-05
155,1300.2,1.11734,0.81049,1.20305,0.89976,0.88696,0.92322,0.59866,1.3409,0.64266,1.21948,4.57374e-05,4.57374e-05,4.57374e-05
156,1308.57,1.04017,0.80342,1.19375,0.94033,0.86076,0.92469,0.58746,1.38721,0.65299,1.23716,4.54305e-05,4.54305e-05,4.54305e-05
157,1316.31,1.07795,0.81186,1.21499,0.92855,0.87829,0.92656,0.58819,1.3886,0.65469,1.23317,4.51236e-05,4.51236e-05,4.51236e-05
158,1324.75,1.09601,0.84207,1.2071,0.93029,0.88231,0.92552,0.59217,1.37526,0.6533,1.2238,4.48167e-05,4.48167e-05,4.48167e-05
159,1332.9,1.15456,0.87917,1.24167,0.93098,0.88131,0.92409,0.59971,1.34967,0.64563,1.21011,4.45098e-05,4.45098e-05,4.45098e-05
160,1340.59,1.03976,0.76835,1.16856,0.92927,0.88361,0.9236,0.61068,1.29544,0.63323,1.18347,4.42029e-05,4.42029e-05,4.42029e-05
161,1349.08,1.07359,0.8098,1.21212,0.92585,0.88663,0.92374,0.63208,1.22448,0.61666,1.15281,4.3896e-05,4.3896e-05,4.3896e-05
162,1357.99,1.08607,0.83045,1.20497,0.91839,0.89165,0.92299,0.64373,1.15929,0.60199,1.12562,4.35891e-05,4.35891e-05,4.35891e-05
163,1366.06,1.08072,0.79868,1.2065,0.91732,0.89189,0.92506,0.6521,1.12293,0.59434,1.11151,4.32822e-05,4.32822e-05,4.32822e-05
164,1375.12,1.00408,0.75247,1.16885,0.92996,0.888,0.9245,0.65229,1.12519,0.59471,1.11481,4.29753e-05,4.29753e-05,4.29753e-05
165,1384.27,1.06047,0.77171,1.16674,0.92675,0.88986,0.92757,0.65127,1.14035,0.5971,1.12174,4.26684e-05,4.26684e-05,4.26684e-05
166,1391.82,1.05907,0.77858,1.1801,0.9202,0.88525,0.92624,0.64182,1.16076,0.59848,1.12828,4.23615e-05,4.23615e-05,4.23615e-05
167,1400.73,1.0443,0.76551,1.16847,0.91613,0.88858,0.92883,0.63701,1.18427,0.60277,1.1379,4.20546e-05,4.20546e-05,4.20546e-05
